Invoice;InboundDate;IDSupplier;OrderDate;InvoiceDate;LeadTime;SupplierName;Country;Currency;CountryOrigen;TheoricalLeadTime;GoodLeadTime
FFCC141196;2014-05-26;PROV1650;2014-05-10;2014-05-29;16 days;Proveedor 539;ES;EUR;Spanish;10 days;False
FFCC141197;2014-05-20;PROV40000235;2014-04-13;2014-05-23;37 days;Proveedor 15;ES;EUR;Spanish;10 days;False
FFCC141198;2014-05-12;PROV1647;2014-04-27;2014-05-15;15 days;Proveedor 536;ES;EUR;Spanish;10 days;False
FFCC141199;2014-05-19;PROV40001000;2014-03-24;2014-05-22;56 days;Proveedor 24;FR;EUR;Intracommunity;20 days;False
FFCC141200;2014-05-24;PROV40000850;2014-05-11;2014-05-27;13 days;Proveedor 21;ES;EUR;Spanish;10 days;False
FFCC141201;2014-05-15;PROV1441;2014-04-03;2014-05-18;42 days;Proveedor 349;ES;EUR;Spanish;10 days;False
FFCC141251;2014-05-30;PROV40000187;2014-04-15;2014-06-02;45 days;Proveedor 13;ES;EUR;Spanish;10 days;False
FFCC141262;2014-05-26;PROV1027;2014-05-05;2014-05-29;21 days;Proveedor 178;ES;EUR;Spanish;10 days;False
FFCC141263;2014-05-27;PROV1027;2014-04-20;2014-05-30;37 days;Proveedor 178;ES;EUR;Spanish;10 days;False
FFCC141265;2014-05-01;PROV1485;2014-04-06;2014-05-04;25 days;Proveedor 386;IE;EUR;Intracommunity;20 days;False
FFCC141272;2014-05-16;PROV1061;2014-04-10;2014-05-19;36 days;Proveedor 182;IN;USD;Extracommunity;45 days;True
FFCC141274;2014-05-30;PROV1414;2014-05-10;2014-06-02;20 days;Proveedor 335;ES;EUR;Spanish;10 days;False
FFCC141275;2014-05-28;PROV1003;2014-04-09;2014-05-31;49 days;Proveedor 165;CN;USD;Extracommunity;45 days;False
FFCC141276;2014-05-16;PROV40000520;2014-04-17;2014-05-19;29 days;Proveedor 17;ES;EUR;Spanish;10 days;False
FFCC141277;2014-05-29;PROV40000850;2014-04-16;2014-06-01;43 days;Proveedor 21;ES;EUR;Spanish;10 days;False
FFCC141280;2014-05-30;PROV1465;2014-04-28;2014-06-02;32 days;Proveedor 368;ES;EUR;Spanish;10 days;False
FFCC141283;2014-05-19;PROV40002330;2014-04-16;2014-05-22;33 days;Proveedor 37;ES;EUR;Spanish;10 days;False
FFCC141285;2014-05-26;PROV40002330;2014-05-08;2014-05-29;18 days;Proveedor 37;ES;EUR;Spanish;10 days;False
FFCC141289;2014-05-21;PROV1650;2014-05-05;2014-05-24;16 days;Proveedor 539;ES;EUR;Spanish;10 days;False
FFCC141294;2014-05-31;PROV40002065;2014-05-19;2014-06-03;12 days;Proveedor 30;ES;EUR;Spanish;10 days;False
FFCC141301;2014-05-23;PROV40001600;2014-04-05;2014-05-26;48 days;Proveedor 27;ES;EUR;Spanish;10 days;False
FFCC141311;2014-05-16;PROV1397;2014-04-18;2014-05-19;28 days;Proveedor 321;PE;USD;Extracommunity;45 days;True
FFCC141313;2014-05-12;PROV1428;2014-04-05;2014-05-15;37 days;Proveedor 341;CH;USD;Extracommunity;45 days;True
FFCC141342;2014-05-19;PROV1485;2014-04-06;2014-05-22;43 days;Proveedor 386;IE;EUR;Intracommunity;20 days;False
FFCC141358;2014-05-26;PROV1485;2014-04-20;2014-05-29;36 days;Proveedor 386;IE;EUR;Intracommunity;20 days;False
FFCC141376;2014-05-23;PROV40000520;2014-05-18;2014-05-26;5 days;Proveedor 17;ES;EUR;Spanish;10 days;True
FFCC141388;2014-05-02;PROV40002220;2014-03-13;2014-05-05;50 days;Proveedor 36;ES;EUR;Spanish;10 days;False
FFCC141389;2014-05-30;PROV40000520;2014-05-05;2014-06-02;25 days;Proveedor 17;ES;EUR;Spanish;10 days;False
FFCC141428;2014-06-03;PROV1441;2014-04-19;2014-06-06;45 days;Proveedor 349;ES;EUR;Spanish;10 days;False
FFCC141429;2014-06-01;PROV1441;2014-05-16;2014-06-04;16 days;Proveedor 349;ES;EUR;Spanish;10 days;False
FFCC141430;2014-06-01;PROV40001000;2014-05-03;2014-06-04;29 days;Proveedor 24;FR;EUR;Intracommunity;20 days;False
FFCC141431;2014-06-01;PROV40001825;2014-05-18;2014-06-04;14 days;Proveedor 29;ES;EUR;Spanish;10 days;False
FFCC141432;2014-06-05;PROV40002330;2014-04-25;2014-06-08;41 days;Proveedor 37;ES;EUR;Spanish;10 days;False
FFCC141433;2014-06-02;PROV40000500;2014-05-10;2014-06-05;23 days;Proveedor 16;ES;EUR;Spanish;10 days;False
