Invoice;Quantity;Product;PurchasePrice (Unit);TotalAmount
FFCC141196;1031;MP04245;0.441839727796597;455.54
FFCC141197;1931;MP04227;1.680569846823487;3245.18
FFCC141198;360;MP02868;1.1592;417.31
FFCC141198;240;MP02869;1.2144;291.46
FFCC141199;18138;MP02700;0.1243909734433573;2256.2
FFCC141200;69;MP04999;3.982381729287752;274.78
FFCC141201;2095;MP019602;1.8957528411927775;3971.6
FFCC141251;6521;MP02421;0.0984;641.67
FFCC141262;17173;MP03122;0.1677062675945798;2880.02
FFCC141262;40516;MP03152;0.2662500888763787;10787.39
FFCC141263;17259;MP03122;0.1677062675945798;2894.44
FFCC141263;23710;MP03121;0.1790004236148606;4244.1
FFCC141265;4940;P4074;0.0883017745659085;436.21
FFCC141265;7864;P4152;0.1427367543022538;1122.48
FFCC141265;18867;P4169;0.1020387559031307;1925.17
FFCC141265;2317;P4172;0.2581542898376764;598.14
FFCC141265;2459;P4174;0.2721013042540539;669.1
FFCC141265;6000;P4176;0.0537239999999999;322.34
FFCC141265;2400;P4185;0.086022;206.45
FFCC141265;9384;P4188;0.1950765379628766;1830.6
FFCC141265;3368;P4190;0.2020923151841562;680.65
FFCC141265;7974;P4204;0.1018611822677275;812.24
FFCC141265;1440;P4220;0.08349;120.23
FFCC141265;8072;P4229;0.2704474149546625;2183.05
FFCC141265;7473;P4234;0.1811664091928235;1353.86
FFCC141265;6110;P4235;0.220728473107949;1348.65
FFCC141265;2468;P4240;0.0841512293692761;207.69
FFCC141265;1957;P4248;0.4500183652327957;880.69
FFCC141265;1777;P4249;0.3252591629182587;577.99
FFCC141265;3184;P4255;0.1281961904235631;408.18
FFCC141265;4130;P4265;0.1919790690319007;792.87
FFCC141265;6240;P4267;0.08256;515.17
FFCC141265;5100;P4279;0.098868;504.23
FFCC141265;3041;P4310;0.193394427901335;588.11
FFCC141265;2392;P4341;0.131273800724283;314.01
FFCC141265;1201;P4360;0.3037761049626378;364.84
FFCC141265;17133;P4371;0.2465754004631284;4224.58
FFCC141265;1500;P4375;0.096;144.0
FFCC141265;7303;P4438;0.2738738486814382;2000.1
